domain,outgoing_links,visit_count
mg.wikipedia.org,638,1
my.wikipedia.org,511,1
la.wikipedia.org,687,1
bg.wikipedia.org,632,1
wikis.world,10,1
kk.wikipedia.org,380,1
ur.wikipedia.org,294,1
be-tarask.wikipedia.org,284,1
bs.wikipedia.org,343,1
war.wikipedia.org,632,1
ha.wikipedia.org,591,1
ceb.wikipedia.org,226,1
cv.wikipedia.org,302,1
sv.wikipedia.org,655,1
ar.wikipedia.org,525,1
af.wikipedia.org,697,1
it.wikipedia.org,540,1
en.wikipedia.org,684,1
cy.wikipedia.org,613,1
eml.wikipedia.org,602,1
hu.wikipedia.org,700,1
eu.wikipedia.org,599,1
th.wikipedia.org,657,1
br.wikipedia.org,536,1
lv.wikipedia.org,289,1
el.wikipedia.org,545,1
fr.wikipedia.org,638,1
az.wikipedia.org,374,1
sh.wikipedia.org,643,1
cs.wikipedia.org,675,1
sk.wikipedia.org,600,1
he.wikipedia.org,892,1
bn.wikipedia.org,589,1
wikipedia.org,378,1
zh-min-nan.wikipedia.org,426,1
ba.wikipedia.org,301,1
hyw.wikipedia.org,542,1
ast.wikipedia.org,468,1
sl.wikipedia.org,418,1
dag.wikipedia.org,504,1
nl.wikipedia.org,578,1
ka.wikipedia.org,605,1
hif.wikipedia.org,696,1
tr.wikipedia.org,622,1
mr.wikipedia.org,1006,1
vi.wikipedia.org,455,1
min.wikipedia.org,402,1
be.wikipedia.org,294,1
es.wikipedia.org,447,1
ary.wikipedia.org,634,1
eo.wikipedia.org,669,1
bar.wikipedia.org,155,1
azb.wikipedia.org,361,1
pl.wikipedia.org,361,1
ca.wikipedia.org,570,1
ko.wikipedia.org,358,1
bpy.wikipedia.org,311,1
am.wikipedia.org,561,1
et.wikipedia.org,622,1
ace.wikipedia.org,596,1
tt.wikipedia.org,440,1
ce.wikipedia.org,323,1
de.wikipedia.org,324,1
zh.wikipedia.org,661,1
ro.wikipedia.org,779,1
ru.wikipedia.org,450,1
gor.wikipedia.org,532,1
lt.wikipedia.org,301,1
fi.wikipedia.org,599,1
simple.wikipedia.org,548,1
da.wikipedia.org,763,1
hr.wikipedia.org,556,1
mk.wikipedia.org,535,1
ja.wikipedia.org,474,1
lld.wikipedia.org,618,1
arz.wikipedia.org,652,1
creativecommons.org,133,1
ta.wikipedia.org,668,1
bcl.wikipedia.org,320,1
te.wikipedia.org,606,1
uz.wikipedia.org,372,1
no.wikipedia.org,554,1
ms.wikipedia.org,1002,1
books.toscrape.com,94,1
zh-yue.wikipedia.org,392,1
ban.wikipedia.org,782,1
nn.wikipedia.org,595,1
nv.wikipedia.org,191,1
an.wikipedia.org,692,1
sw.wikipedia.org,625,1
pt.wikipedia.org,672,1
sq.wikipedia.org,606,1
bjn.wikipedia.org,755,1
uk.wikipedia.org,437,1
fa.wikipedia.org,596,1
sr.wikipedia.org,367,1
tg.wikipedia.org,331,1
id.wikipedia.org,650,1
gl.wikipedia.org,328,1
hi.wikipedia.org,840,1
hy.wikipedia.org,619,1
map-bms.wikipedia.org,644,1
als.wikipedia.org,272,1
