domain,pagerank
aa.wikipedia.org,0.00085
ab.wikipedia.org,0.00100
abstract.wikipedia.org,0.00127
ace.wikipedia.org,0.00125
ady.wikipedia.org,0.00099
af.wikibooks.org,0.00086
af.wikinews.org,0.00085
af.wikipedia.org,0.00161
af.wikiquote.org,0.00086
af.wiktionary.org,0.00086
agerpres.ro,0.00085
ak.wikipedia.org,0.00086
als.wikipedia.org,0.00305
alt.wikipedia.org,0.00100
am.wikibooks.org,0.00085
am.wikinews.org,0.00085
am.wikipedia.org,0.00130
am.wikiquote.org,0.00086
am.wikisource.org,0.00085
am.wiktionary.org,0.00086
ami.wikipedia.org,0.00098
an.wikipedia.org,0.00140
an.wiktionary.org,0.00086
ang.wikipedia.org,0.00098
ann.wikipedia.org,0.00098
anp.wikipedia.org,0.00098
api.whatsapp.com,0.00086
ar.wikibooks.org,0.00086
ar.wikinews.org,0.00086
ar.wikipedia.org,0.00339
ar.wikiquote.org,0.00087
ar.wikisource.org,0.00086
ar.wikiversity.org,0.00086
ar.wikivoyage.org,0.00086
ar.wiktionary.org,0.00087
arc.wikipedia.org,0.00099
archive.org,0.00086
ary.wikipedia.org,0.00144
arz.wikibooks.org,0.00085
arz.wikinews.org,0.00085
arz.wikipedia.org,0.00146
arz.wikiquote.org,0.00085
arz.wikisource.org,0.00085
arz.wikivoyage.org,0.00085
arz.wiktionary.org,0.00085
as.wikipedia.org,0.00099
asiaplustj.info,0.00087
ast.wikibooks.org,0.00086
ast.wikipedia.org,0.00162
ast.wikiquote.org,0.00086
ast.wiktionary.org,0.00086
atj.wikipedia.org,0.00098
av.wikipedia.org,0.00102
avesta.tj,0.00086
avk.wikipedia.org,0.00098
awa.wikipedia.org,0.00098
ay.wikipedia.org,0.00100
az.wikibooks.org,0.00087
az.wikinews.org,0.00086
az.wikipedia.org,0.00238
az.wikiquote.org,0.00087
az.wikisource.org,0.00087
az.wikivoyage.org,0.00086
az.wiktionary.org,0.00087
azb.wikipedia.org,0.00190
azb.wikiversity.org,0.00086
ba.wikibooks.org,0.00087
ba.wikipedia.org,0.00259
ba.wikiquote.org,0.00086
ba.wikisource.org,0.00086
ban.wikipedia.org,0.00132
ban.wikisource.org,0.00086
ban.wikivoyage.org,0.00085
ban.wiktionary.org,0.00086
bar.wikipedia.org,0.00226
bat-smg.wikipedia.org,0.00100
bbc.com,0.00086
bbc.wikipedia.org,0.00098
bcl.wikibooks.org,0.00086
bcl.wikinews.org,0.00086
bcl.wikipedia.org,0.00160
bcl.wikiquote.org,0.00086
bcl.wikisource.org,0.00086
bcl.wikiversity.org,0.00086
bcl.wiktionary.org,0.00086
bd.wikimedia.org,0.00086
bdr.wikipedia.org,0.00098
be-tarask.wikipedia.org,0.00273
be.wikibooks.org,0.00087
be.wikipedia.org,0.00340
be.wikiquote.org,0.00087
be.wikisource.org,0.00087
be.wiktionary.org,0.00087
beta.wikiversity.org,0.00091
bew.wikipedia.org,0.00098
bg.wikibooks.org,0.00086
bg.wikinews.org,0.00086
bg.wikipedia.org,0.00195
bg.wikiquote.org,0.00086
bg.wikisource.org,0.00086
bg.wiktionary.org,0.00086
bh.wikipedia.org,0.00099
bi.wikipedia.org,0.00098
