domain,pagerank_score
bjn.wikiversity.org,0.000854
sq.wikiquote.org,0.000854
pt.wikiversity.org,0.000858
pt.wikiquote.org,0.000858
ta.wikipedia.org,0.001434
stats.grok.se,0.000854
pageviews.toolforge.org,0.000854
thebook.toolforge.org,0.000854
tg.wiktionary.org,0.000863
ban.wikivoyage.org,0.000854
de.wikiversity.org,0.000868
ko.wikinews.org,0.000859
ban.wikisource.org,0.000858
bjn.wikiquote.org,0.000857
books.toscrape.com,0.005650
pt.wikisource.org,0.000858
no.wikinews.org,0.000862
uz.wikinews.org,0.000858
lld.wikiquote.org,0.000854
uz.wikisource.org,0.000858
te.wikiquote.org,0.000857
te.wikibooks.org,0.000857
bcl.wiktionary.org,0.000861
bcl.wikisource.org,0.000857
ro.wikipedia.org,0.002345
ta.wikinews.org,0.000860
tt.wikipedia.org,0.002787
my.wikipedia.org,0.001985
sr.wikipedia.org,0.003376
scn.wikipedia.org,0.000997
arz.wikivoyage.org,0.000854
ng.wikipedia.org,0.000854
id.wikisource.org,0.000858
lld.wiktionary.org,0.000854
ja.wikivoyage.org,0.000869
zh-yue.wiktionary.org,0.000856
ja.wikibooks.org,0.000869
en.wikiversity.org?uselang=mk,0.000857
map-bms.wikisource.org,0.000854
wikimedia.de,0.000862
mk.wiktionary.org,0.000871
bjn.wiktionary.org,0.000857
hr.wikivoyage.org,0.000855
ar.wikipedia.org,0.003393
hr.wikisource.org,0.000858
da.m.wikipedia.org,0.000857
uz.wiktionary.org,0.000863
da.wiktionary.org,0.000857
uz.wikiquote.org,0.000863
foundation.wikimedia.org,0.003250
fi.wikiversity.org,0.000858
sn.wikipedia.org,0.000981
chr.wikipedia.org,0.000977
telegraph.co.uk,0.000860
ja.wikisource.org,0.000869
bcl.wikiquote.org,0.000861
ie.wikipedia.org,0.000977
lt.wikiquote.org,0.000868
gor.wikiversity.org,0.000854
srf.ch,0.000862
bn.wikivoyage.org,0.000863
ru.wikisource.org,0.000864
ru.wikiquote.org,0.000864
mk.wikisource.org,0.000871
ru.wikinews.org,0.000858
th.wikipedia.org,0.001683
ru.wikibooks.org,0.000864
tg.wikinews.org,0.000858
eurosport.ro,0.000855
bs.wikisource.org,0.000864
ro.wikisource.org,0.000860
de.wiktionary.org,0.000868
zh.wiktionary.org,0.000861
nv.wikipedia.org,0.003134
zh.wikivoyage.org,0.000861
ms.wikipedia.org,0.001631
zh.wikiquote.org,0.000861
fi.wikibooks.org,0.000858
huwiki.blogspot.com,0.000855
de.wikivoyage.org,0.000868
de.wikinews.org,0.000860
fi.wikinews.org,0.000855
ce.wiktionary.org,0.000858
tt.wikinews.org,0.000858
ru.wikimedia.org,0.000869
tt.m.wikipedia.org,0.000858
id.wikimedia.org,0.000857
archive.org,0.000856
et.wiktionary.org,0.000857
wikivoyage.org,0.000894
et.wikisource.org,0.000857
vi.wikinews.org,0.000858
am.wikiquote.org,0.000856
bcl.wikipedia.org,0.001604
bbc.com,0.000860
gl.wikipedia.org,0.002328
it.wikinews.org,0.000862
bpy.wikiversity.org,0.000865
roa-tara.wikipedia.org,0.000981
mg.wikipedia.org,0.001331
ro.wikinews.org,0.000860
pwn.wikipedia.org,0.000977
bpy.wikinews.org,0.000865
arz.wikiquote.org,0.000854
bpy.wikisource.org,0.000865
am.wikisource.org,0.000854
ko.wiktionary.org,0.000866
vi.wikiquote.org,0.000863
ko.wikiversity.org,0.000866
ko.wikiquote.org,0.000866
da.wikibooks.org,0.000857
tig.wikipedia.org,0.000973
ca.wikinews.org,0.000855
wikimedia.pl,0.000859
pl.wikivoyage.org,0.000865
kk.wikivoyage.org,0.000858
tz.de,0.000865
pnb.wikipedia.org,0.001030
vawadioe.acdh.oeaw.ac.at,0.000865
bew.wikipedia.org,0.000983
eo.wikivoyage.org,0.000857
arz.wiktionary.org,0.000854
arz.wikipedia.org,0.001459
sl.wikiversity.org,0.000869
io.wikipedia.org,0.001030
cdn.masto.host,0.000979
wikiquote.com,0.000854
web.archive.org,0.000854
es.wikinews.org,0.000859
gnu.org,0.000854
ru.wikiversity.org,0.000864
upload.wikimedia.org,0.000856
es.wikivoyage.org,0.000865
dag.wiktionary.org,0.000854
zh-yue.wikipedia.org,0.001867
be.wikibooks.org,0.000872
min.wikiquote.org,0.000857
min.wikisource.org,0.000861
vi.wikivoyage.org,0.000863
test.wikipedia.org,0.000856
vi.wikisource.org,0.000863
mr.wikiversity.org,0.000856
ce.wikibooks.org,0.000858
mr.m.wikipedia.org,0.000854
tr.wikivoyage.org,0.000855
ka.wikiquote.org,0.000860
dag.wikipedia.org,0.001180
nl.wikinews.org,0.000858
ka.wikibooks.org,0.000860
